date,fips,county,cases,deaths
2020-03-01,36001,Albany,0,0
2020-03-01,36003,Allegany,0,0
2020-03-01,36007,Broome,0,0
2020-03-01,36009,Cattaraugus,0,0
2020-03-01,36011,Cayuga,0,0
2020-03-01,36013,Chautauqua,0,0
2020-03-01,36015,Chemung,0,0
2020-03-01,36017,Chenango,0,0
2020-03-01,36019,Clinton,0,0
2020-03-01,36021,Columbia,0,0
2020-03-01,36023,Cortland,0,0
2020-03-01,36025,Delaware,0,0
2020-03-01,36027,Dutchess,0,0
2020-03-01,36029,Erie,0,0
2020-03-01,36031,Essex,0,0
2020-03-01,36033,Franklin,0,0
2020-03-01,36035,Fulton,0,0
2020-03-01,36037,Genesee,0,0
2020-03-01,36039,Greene,0,0
2020-03-01,36041,Hamilton,0,0
2020-03-01,36043,Herkimer,0,0
2020-03-01,36045,Jefferson,0,0
2020-03-01,36049,Lewis,0,0
2020-03-01,36051,Livingston,0,0
2020-03-01,36053,Madison,0,0
2020-03-01,36055,Monroe,0,0
2020-03-01,36057,Montgomery,0,0
2020-03-01,36059,Nassau,0,0
2020-03-01,36063,Niagara,0,0
2020-03-01,36065,Oneida,0,0
2020-03-01,36067,Onondaga,0,0
2020-03-01,36069,Ontario,0,0
2020-03-01,36071,Orange,0,0
2020-03-01,36073,Orleans,0,0
2020-03-01,36075,Oswego,0,0
2020-03-01,36077,Otsego,0,0
2020-03-01,36079,Putnam,0,0
2020-03-01,36083,Rensselaer,0,0
2020-03-01,36087,Rockland,0,0
2020-03-01,36091,Saratoga,0,0
2020-03-01,36093,Schenectady,0,0
2020-03-01,36095,Schoharie,0,0
2020-03-01,36097,Schuyler,0,0
2020-03-01,36099,Seneca,0,0
2020-03-01,36101,Steuben,0,0
2020-03-01,36103,Suffolk,0,0
2020-03-01,36105,Sullivan,0,0
2020-03-01,36107,Tioga,0,0
2020-03-01,36109,Tompkins,0,0
2020-03-01,36111,Ulster,0,0
2020-03-01,36113,Warren,0,0
2020-03-01,36115,Washington,0,0
2020-03-01,36117,Wayne,0,0
2020-03-01,36119,Westchester,0,0
2020-03-01,36121,Wyoming,0,0
2020-03-01,36123,Yates,0,0
2020-03-01,36089,St. Lawrence,0,0
2020-03-01,99999,New York City,1,0
2020-03-01,90036,Unknown,0,0
2020-03-02,36001,Albany,0,0
2020-03-02,36003,Allegany,0,0
2020-03-02,36007,Broome,0,0
2020-03-02,36009,Cattaraugus,0,0
2020-03-02,36011,Cayuga,0,0
2020-03-02,36013,Chautauqua,0,0
2020-03-02,36015,Chemung,0,0
2020-03-02,36017,Chenango,0,0
2020-03-02,36019,Clinton,0,0
2020-03-02,36021,Columbia,0,0
2020-03-02,36023,Cortland,0,0
2020-03-02,36025,Delaware,0,0
2020-03-02,36027,Dutchess,0,0
2020-03-02,36029,Erie,0,0
2020-03-02,36031,Essex,0,0
2020-03-02,36033,Franklin,0,0
2020-03-02,36035,Fulton,0,0
2020-03-02,36037,Genesee,0,0
2020-03-02,36039,Greene,0,0
2020-03-02,36041,Hamilton,0,0
2020-03-02,36043,Herkimer,0,0
2020-03-02,36045,Jefferson,0,0
2020-03-02,36049,Lewis,0,0
2020-03-02,36051,Livingston,0,0
2020-03-02,36053,Madison,0,0
2020-03-02,36055,Monroe,0,0
2020-03-02,36057,Montgomery,0,0
2020-03-02,36059,Nassau,0,0
2020-03-02,36063,Niagara,0,0
2020-03-02,36065,Oneida,0,0
2020-03-02,36067,Onondaga,0,0
2020-03-02,36069,Ontario,0,0
2020-03-02,36071,Orange,0,0
2020-03-02,36073,Orleans,0,0
2020-03-02,36075,Oswego,0,0
2020-03-02,36077,Otsego,0,0
2020-03-02,36079,Putnam,0,0
2020-03-02,36083,Rensselaer,0,0
2020-03-02,36087,Rockland,0,0
2020-03-02,36091,Saratoga,0,0
2020-03-02,36093,Schenectady,0,0
2020-03-02,36095,Schoharie,0,0
2020-03-02,36097,Schuyler,0,0
2020-03-02,36099,Seneca,0,0
2020-03-02,36101,Steuben,0,0
2020-03-02,36103,Suffolk,0,0
2020-03-02,36105,Sullivan,0,0
2020-03-02,36107,Tioga,0,0
2020-03-02,36109,Tompkins,0,0
2020-03-02,36111,Ulster,0,0
2020-03-02,36113,Warren,0,0
2020-03-02,36115,Washington,0,0
2020-03-02,36117,Wayne,0,0
2020-03-02,36119,Westchester,0,0
2020-03-02,36121,Wyoming,0,0
2020-03-02,36123,Yates,0,0
2020-03-02,36089,St. Lawrence,0,0
2020-03-02,99999,New York City,1,0
2020-03-02,90036,Unknown,0,0
2020-03-03,36001,Albany,0,0
2020-03-03,36003,Allegany,0,0
2020-03-03,36007,Broome,0,0
2020-03-03,36009,Cattaraugus,0,0
2020-03-03,36011,Cayuga,0,0
2020-03-03,36013,Chautauqua,0,0
2020-03-03,36015,Chemung,0,0
2020-03-03,36017,Chenango,0,0
2020-03-03,36019,Clinton,0,0
2020-03-03,36021,Columbia,0,0
2020-03-03,36023,Cortland,0,0
2020-03-03,36025,Delaware,0,0
2020-03-03,36027,Dutchess,0,0
2020-03-03,36029,Erie,0,0
2020-03-03,36031,Essex,0,0
2020-03-03,36033,Franklin,0,0
2020-03-03,36035,Fulton,0,0
2020-03-03,36037,Genesee,0,0
2020-03-03,36039,Greene,0,0
2020-03-03,36041,Hamilton,0,0
2020-03-03,36043,Herkimer,0,0
2020-03-03,36045,Jefferson,0,0
2020-03-03,36049,Lewis,0,0
2020-03-03,36051,Livingston,0,0
2020-03-03,36053,Madison,0,0
2020-03-03,36055,Monroe,0,0
2020-03-03,36057,Montgomery,0,0
2020-03-03,36059,Nassau,0,0
2020-03-03,36063,Niagara,0,0
2020-03-03,36065,Oneida,0,0
2020-03-03,36067,Onondaga,0,0
2020-03-03,36069,Ontario,0,0
2020-03-03,36071,Orange,0,0
2020-03-03,36073,Orleans,0,0
2020-03-03,36075,Oswego,0,0
2020-03-03,36077,Otsego,0,0
2020-03-03,36079,Putnam,0,0
2020-03-03,36083,Rensselaer,0,0
2020-03-03,36087,Rockland,0,0
