date,fips,county,daily_cases,daily_hospitalized,daily_deaths,daily_cases_avg,daily_hospitalized_avg,daily_deaths_avg
2020-02-29,36005,Bronx,0,0,0,0,0,0
2020-03-01,36005,Bronx,0,0,0,0,0,0
2020-03-02,36005,Bronx,0,0,0,0,0,0
2020-03-03,36005,Bronx,0,0,0,0,0,0
2020-03-04,36005,Bronx,0,0,0,0,0,0
2020-03-05,36005,Bronx,0,0,0,0,0,0
2020-03-06,36005,Bronx,2,1,0,0,0,0
2020-03-07,36005,Bronx,0,1,0,0,0,0
2020-03-08,36005,Bronx,3,2,0,1,1,0
2020-03-09,36005,Bronx,4,6,0,1,1,0
2020-03-10,36005,Bronx,8,4,0,2,2,0
2020-03-11,36005,Bronx,19,19,0,5,5,0
2020-03-12,36005,Bronx,29,12,0,9,6,0
2020-03-13,36005,Bronx,79,30,0,20,11,0
2020-03-14,36005,Bronx,86,24,0,33,14,0
2020-03-15,36005,Bronx,119,35,1,49,19,0
2020-03-16,36005,Bronx,305,69,3,92,28,1
2020-03-17,36005,Bronx,343,63,1,140,36,1
2020-03-18,36005,Bronx,482,107,1,206,49,1
2020-03-19,36005,Bronx,623,126,4,291,65,1
2020-03-20,36005,Bronx,723,119,13,383,78,3
2020-03-21,36005,Bronx,490,162,12,441,97,5
2020-03-22,36005,Bronx,494,168,12,494,116,7
2020-03-23,36005,Bronx,730,221,12,555,138,8
2020-03-24,36005,Bronx,927,267,14,638,167,10
2020-03-25,36005,Bronx,1067,298,30,722,194,14
2020-03-26,36005,Bronx,999,322,37,776,222,19
2020-03-27,36005,Bronx,1090,317,36,828,251,22
2020-03-28,36005,Bronx,762,321,62,867,273,29
2020-03-29,36005,Bronx,701,321,55,897,295,35
2020-03-30,36005,Bronx,1313,341,75,980,312,44
2020-03-31,36005,Bronx,1282,383,98,1031,329,56
2020-04-01,36005,Bronx,1240,386,94,1055,342,65
2020-04-02,36005,Bronx,1291,368,97,1097,348,74
2020-04-03,36005,Bronx,1450,374,116,1148,356,85
2020-04-04,36005,Bronx,1011,302,106,1184,354,92
2020-04-05,36005,Bronx,823,323,123,1201,354,101
2020-04-06,36005,Bronx,1514,403,112,1230,363,107
2020-04-07,36005,Bronx,1464,348,115,1256,358,109
2020-04-08,36005,Bronx,1305,387,114,1265,358,112
2020-04-09,36005,Bronx,1283,314,108,1264,350,113
2020-04-10,36005,Bronx,1228,308,118,1233,341,114
2020-04-11,36005,Bronx,998,278,132,1231,337,117
2020-04-12,36005,Bronx,763,243,110,1222,326,116
2020-04-13,36005,Bronx,693,289,122,1105,310,117
