date,fips,county,cases,deaths,active,recovered
2020-03-22,36001,Albany,123,0,123,0
2020-03-22,36003,Allegany,2,0,2,0
2020-03-22,36005,Bronx,0,0,0,0
2020-03-22,36007,Broome,3,1,2,0
2020-03-22,36009,Cattaraugus,0,0,0,0
2020-03-22,36011,Cayuga,0,0,0,0
2020-03-22,36013,Chautauqua,0,0,0,0
2020-03-22,36015,Chemung,0,0,0,0
2020-03-22,36017,Chenango,2,0,2,0
2020-03-22,36019,Clinton,4,0,4,0
2020-03-22,36021,Columbia,17,0,17,0
2020-03-22,36023,Cortland,2,0,2,0
2020-03-22,36025,Delaware,1,0,1,0
2020-03-22,36027,Dutchess,82,0,82,0
2020-03-22,36029,Erie,56,0,56,0
2020-03-22,36031,Essex,3,0,3,0
2020-03-22,36033,Franklin,0,0,0,0
2020-03-22,36035,Fulton,1,0,1,0
2020-03-22,36037,Genesee,1,0,1,0
2020-03-22,36039,Greene,2,0,2,0
2020-03-22,36041,Hamilton,2,0,2,0
2020-03-22,36043,Herkimer,3,0,3,0
2020-03-22,36045,Jefferson,1,0,1,0
2020-03-22,36047,Kings,0,0,0,0
2020-03-22,36049,Lewis,0,0,0,0
2020-03-22,36051,Livingston,2,0,2,0
2020-03-22,36053,Madison,0,0,0,0
2020-03-22,36055,Monroe,68,1,67,0
2020-03-22,36057,Montgomery,3,0,3,0
2020-03-22,36059,Nassau,1900,4,1896,0
2020-03-22,36063,Niagara,9,0,9,0
2020-03-22,36065,Oneida,4,0,4,0
2020-03-22,36067,Onondaga,45,0,45,0
2020-03-22,36069,Ontario,4,0,4,0
2020-03-22,36071,Orange,247,0,247,0
2020-03-22,36073,Orleans,0,0,0,0
2020-03-22,36075,Oswego,0,0,0,0
2020-03-22,36077,Otsego,0,0,0,0
2020-03-22,36079,Putnam,31,0,31,0
2020-03-22,36081,Queens,0,0,0,0
2020-03-22,36083,Rensselaer,20,0,20,0
2020-03-22,36085,Richmond,0,0,0,0
2020-03-22,36087,Rockland,455,1,454,0
2020-03-22,36091,Saratoga,35,0,35,0
2020-03-22,36093,Schenectady,32,0,32,0
2020-03-22,36095,Schoharie,1,0,1,0
2020-03-22,36097,Schuyler,0,0,0,0
2020-03-22,36099,Seneca,0,0,0,0
2020-03-22,36101,Steuben,2,0,2,0
2020-03-22,36103,Suffolk,1034,9,1025,0
2020-03-22,36105,Sullivan,12,0,12,0
2020-03-22,36107,Tioga,1,0,1,0
2020-03-22,36109,Tompkins,15,0,15,0
2020-03-22,36111,Ulster,18,0,18,0
2020-03-22,36113,Warren,1,0,1,0
2020-03-22,36115,Washington,1,0,1,0
2020-03-22,36117,Wayne,3,0,3,0
2020-03-22,36119,Westchester,1873,0,1873,0
2020-03-22,36121,Wyoming,2,0,2,0
2020-03-22,36123,Yates,0,0,0,0
2020-03-22,36061,New York,0,0,0,0
2020-03-22,99999,New York City,9654,63,9591,0
2020-03-22,36089,St. Lawrence,0,0,0,0
2020-03-22,90036,Unassigned,23,38,-15,0
2020-03-23,36001,Albany,127,0,127,0
2020-03-23,36003,Allegany,2,0,2,0
2020-03-23,36005,Bronx,0,0,0,0
2020-03-23,36007,Broome,3,1,2,0
2020-03-23,36009,Cattaraugus,0,0,0,0
2020-03-23,36011,Cayuga,0,0,0,0
2020-03-23,36013,Chautauqua,0,0,0,0
2020-03-23,36015,Chemung,2,0,2,0
2020-03-23,36017,Chenango,2,0,2,0
2020-03-23,36019,Clinton,4,0,4,0
2020-03-23,36021,Columbia,17,0,17,0
2020-03-23,36023,Cortland,2,0,2,0
2020-03-23,36025,Delaware,1,0,1,0
2020-03-23,36027,Dutchess,100,1,99,0
2020-03-23,36029,Erie,87,0,87,0
2020-03-23,36031,Essex,3,0,3,0
2020-03-23,36033,Franklin,0,0,0,0
2020-03-23,36035,Fulton,1,0,1,0
2020-03-23,36037,Genesee,1,0,1,0
2020-03-23,36039,Greene,2,0,2,0
2020-03-23,36041,Hamilton,2,0,2,0
2020-03-23,36043,Herkimer,3,0,3,0
2020-03-23,36045,Jefferson,1,0,1,0
2020-03-23,36047,Kings,0,0,0,0
2020-03-23,36049,Lewis,0,0,0,0
2020-03-23,36051,Livingston,2,0,2,0
2020-03-23,36053,Madison,1,0,1,0
2020-03-23,36055,Monroe,81,2,79,0
